question_word,correct_answer_word,guess_word,label
enormously,tremendously,,guess
provisions,stipulations,,guess
haphazardly,randomly,,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,,guess
flawed,imperfect,,guess
urgently,desperately,,guess
consumed,eaten,,guess
advent,coming,,guess
concisely,succinctly,,guess
salutes,greetings,,guess
solitary,alone,alone,correct
hasten,accelerate,,guess
perseverance,endurance,,guess
fanciful,imaginative,,guess
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,,guess
furnish,supply,supply,correct
costly,expensive,,guess
recognized,acknowledged,welcomed,wrong
spot,location,,guess
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,,guess
debate,argument,,guess
narrow,thin,clear,wrong
arranged,planned,studied,wrong
infinite,limitless,,guess
showy,striking,,guess
levied,imposed,,guess
deftly,skillfully,,guess
distribute,circulate,,guess
discrepancies,differences,,guess
prolific,productive,,guess
unmatched,unequaled,,guess
peculiarly,uniquely,,guess
hue,color,contrast,wrong
hind,rear,,guess
highlight,accentuate,,guess
hastily,hurriedly,,guess
temperate,mild,,guess
grin,smile,,guess
verbally,orally,,guess
physician,doctor,nurse,wrong
essentially,basically,,guess
keen,sharp,famous,wrong
situated,positioned,,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,proposed,wrong
tasks,jobs,,guess
unlikely,improbable,,guess
halfheartedly,apathetically,,guess
annals,chronicles,,guess
wildly,furiously,abruptly,wrong
hailed,acclaimed,,guess
command,mastery,,guess
concocted,devised,,guess
prospective,potential,,guess
generally,broadly,,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,,guess
tranquillity,peacefulness,,guess
dissipate,disperse,,guess
primarily,chiefly,occasionally,wrong
colloquial,conversational,,guess
resolved,settled,settled,correct
feasible,possible,,guess
expeditiously,rapidly,,guess
percentage,proportion,volume,wrong
terminated,ended,ended,correct
uniform,alike,alike,correct
figure,solve,,guess
sufficient,enough,recent,wrong
fashion,manner,manner,correct
marketed,sold,,guess
bigger,larger,closer,wrong
roots,origins,,guess
normally,ordinarily,,guess
